reviewer id,paper id,private cost,step 1 allocation,step 2 allocation,step 3 allocation,cost contribution,individual contribution,total social cost,total unallocated papers,total paper cost,matching input json file
-1,0,1,-1,-1,0.3333333333333335,0.3333333333333335,0.3333333333333335,6.839395583015756,0.3333333333333335,2.716538752521733,simulation.json
-1,1,1,-1,-1,0.0,0.0,0.3333333333333335,6.839395583015756,0.3333333333333335,2.3201306647020554,simulation.json
-1,2,1,-1,-1,0.0,0.0,0.3333333333333335,6.839395583015756,0.3333333333333335,1.469392832458634,simulation.json
0,0,0.7323764030043145,1.0,1.0,1.0,0.7323764030043145,2.0229962072608196,6.839395583015756,0.3333333333333335,2.716538752521733,simulation.json
0,1,2.933268485530754,0.0,0.0,0.0,0.0,2.0229962072608196,6.839395583015756,0.3333333333333335,2.3201306647020554,simulation.json
0,2,2.7386974509295876,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.825798300619725,2.0229962072608196,6.839395583015756,0.3333333333333335,1.469392832458634,simulation.json
1,0,2.7089642303259165,0.0,0.0,0.3333333333333333,0.9029880767753055,2.558174703624039,6.839395583015756,0.3333333333333335,2.716538752521733,simulation.json
1,1,0.6090831838556042,1.0,1.0,1.0,0.6090831838556042,2.558174703624039,6.839395583015756,0.3333333333333335,2.3201306647020554,simulation.json
1,2,0.6192301172499806,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.41282007816665367,2.558174703624039,6.839395583015756,0.3333333333333335,1.469392832458634,simulation.json
2,0,2.0542985547673065,0.0,0.0,0.3333333333333333,0.6847661849224355,1.9248913387975635,6.839395583015756,0.3333333333333335,2.716538752521733,simulation.json
2,1,0.8603096486030297,1.0,1.0,1.0,0.8603096486030297,1.9248913387975635,6.839395583015756,0.3333333333333335,2.3201306647020554,simulation.json
2,2,0.7168805606030314,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.47792037373535423,1.9248913387975635,6.839395583015756,0.3333333333333335,1.469392832458634,simulation.json
