n,m,bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
146,176,3.5,0,1,290,0,0,817.0,50.493457569827456,0.5844633322278734,0.21367669967731168,0.15683069989985535,0.9091523863735441,4.6665557944096765,0.30587206821942914,0.2246618859548543,nan,nan,nan,4.6665557944096765,0.30587206821942914,0.2246618859548543,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,0,1,779.0,57.972463381367504,0.6033729609995282,0.22796563192904656,0.16674203524331893,0.8769211938544558,4.756898379789943,0.297802525583341,0.2217698901419149,nan,nan,nan,4.756898379789943,0.297802525583341,0.2217698901419149,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,0,2,813.0,57.43100130463146,0.5788056564518679,0.2178729173655373,0.1579447612657945,0.9119777119685438,4.855243336394104,0.26921832131615586,0.1980055621234227,nan,nan,nan,4.855243336394104,0.26921832131615586,0.1980055621234227,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,0,3,797.0,49.86382282101462,0.5999199211781497,0.21660060453975133,0.15929052127295537,0.9054110873358341,4.633452604743067,0.28724698250143244,0.21071816322129788,nan,nan,nan,4.633452604743067,0.28724698250143244,0.21071816322129788,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,0,4,784.0,57.775649350649374,0.5997759574609065,0.22070674860853431,0.16141001855287565,0.8963043520505628,4.7989320425781345,0.29481910471844713,0.21595523375202066,nan,nan,nan,4.7989320425781345,0.29481910471844713,0.21595523375202066,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,0,5,815.0,49.71223091976519,0.5868561583806563,0.21304378137200222,0.15855409927495817,0.9241649526242522,4.6830948529355485,0.27172296303187116,0.19803154260989494,nan,nan,nan,4.6830948529355485,0.27172296303187116,0.19803154260989494,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,10,0,807.0,59.05253707479737,0.5810997062270169,0.25562549284668246,0.18809141601892534,0.8995277660714043,4.872558536880866,0.30722636957473065,0.2255753161913199,5.210577849628675,0.22267871136222347,0.16837585137079392,4.825024571025706,0.3180094508910227,0.23400105576899274,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,10,1,805.0,50.35308048116269,0.5933502105824067,0.21992518351214002,0.16019904009034444,0.9193643075545658,4.665271710881483,0.2731250093581395,0.20100022090572073,4.304924663023412,0.22483832932831035,0.15089508620315398,4.709622116771708,0.27633463518235507,0.2057111326569797,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,10,2,809.0,53.9446006048746,0.5859770079049759,0.23382542982357568,0.1728705472525003,0.9122313664236016,4.758954557668659,0.2983075675880421,0.21722957803499607,4.878547105251572,0.31801339556884756,0.24205757707305148,4.741062759211372,0.29441749108107534,0.2133730329776015,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,1,290,10,3,806.0,62.8823370693234,0.5770690607080355,0.24486803519061584,0.17500845928265285,0.892652312321541,4.939435612521062,0.2899461133329444,0.21381918771339994,5.5381324765552495,0.2033068225387545,0.15969159078635317,4.895413784283255,0.2956215575399092,0.21799108297117945,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
